"測站","日期","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
竹山,2023/10/14,PM2.5,26,25,17,17,15,17,19,18,18,18,29,29,26,21,21,21,18,23,28,27,26,30,34,32
竹山,2023/10/15,PM2.5,33,33,34,28,36,26,19,21,25,24,25,22,34,29,23,31,37,32,35,39,32,33,33,33
竹山,2023/10/16,PM2.5,32,32,33,27,33,37,32,31,36,30,30,34,47,49,44,50,53,57,56,56,50,50,53,47
竹山,2023/10/17,PM2.5,44,45,43,39,32,33,39,36,34,36,32,29,45,48,56,57,54,53,59,59,57,54,50,48
竹山,2023/10/18,PM2.5,43,42,38,33,32,34,26,25,30,26,16,28,45,49,37,44,39,49,47,45,35,42,44,33
竹山,2023/10/19,PM2.5,38,37,34,30,26,23,28,23,22,16,22,20,37,38,37,38,35,28,27,31,30,26,24,20
竹山,2023/10/20,PM2.5,17,27,30,28,22,19,20,21,25,28,21,27,21,28,21,19,19,13,13,16,10,10,7,9
竹山,2023/10/21,PM2.5,8,10,9,11,7,3,3,4,12,9,16,24,16,22,24,23,16,18,20,25,23,31,26,24
竹山,2023/10/22,PM2.5,24,29,26,29,25,29,26,23,26,23,27,26,32,26,21,16,21,23,22,32,23,26,29,21
竹山,2023/10/23,PM2.5,21,27,24,23,29,23,23,23,16,21,18,28,30,38,37,30,26,24,25,20,19,22,20,21
竹山,2023/10/24,PM2.5,20,19,26,22,21,22,26,24,21,26,#,25,27,39,45,39,38,39,36,36,41,38,38,31
竹山,2023/10/25,PM2.5,25,28,29,25,31,26,25,29,22,21,36,43,37,38,37,30,22,26,22,21,19,20,24,19
竹山,2023/10/26,PM2.5,23,24,19,22,18,23,21,21,22,17,26,28,30,33,28,36,41,45,44,42,44,58,50,42
竹山,2023/10/27,PM2.5,32,34,31,29,30,30,26,28,42,44,39,44,53,56,50,45,53,55,46,48,46,45,45,42
竹山,2023/10/28,PM2.5,43,40,35,36,32,28,23,38,37,39,40,39,43,30,38,37,35,35,44,38,38,39,35,42
竹山,2023/10/29,PM2.5,33,34,31,33,32,29,28,29,30,26,34,37,30,34,33,38,32,27,27,23,30,29,32,32
竹山,2023/10/30,PM2.5,27,27,25,28,26,28,25,24,21,19,24,26,26,19,17,17,23,18,18,13,27,19,19,17
竹山,2023/10/31,PM2.5,20,22,14,18,13,15,17,22,17,19,15,24,22,#,24,24,25,26,25,23,18,20,23,21
竹山,2023/11/01,PM2.5,23,28,27,21,20,23,21,25,20,21,29,27,34,32,30,33,23,27,27,22,24,23,25,21
竹山,2023/11/02,PM2.5,19,28,27,27,23,31,28,31,32,23,20,23,24,21,37,36,25,23,19,18,15,20,21,21
竹山,2023/11/03,PM2.5,20,21,22,20,20,20,26,25,20,20,16,33,29,26,29,23,19,16,21,19,20,18,18,21
竹山,2023/11/04,PM2.5,17,19,17,18,21,16,20,19,21,18,16,19,20,18,23,24,18,25,27,26,22,18,20,16
