,date,time,pm_val
214,2023/09/10,22,5
215,2023/09/10,23,6
216,2023/09/11,0,7
217,2023/09/11,1,6
218,2023/09/11,2,4
219,2023/09/11,3,1
220,2023/09/11,4,4
221,2023/09/11,5,5
222,2023/09/11,6,6
223,2023/09/11,7,6
224,2023/09/11,8,5
225,2023/09/11,9,6
226,2023/09/11,10,6
227,2023/09/11,11,7
228,2023/09/11,12,8
229,2023/09/11,13,11
230,2023/09/11,14,18
231,2023/09/11,15,13
232,2023/09/11,16,13
233,2023/09/11,17,17
234,2023/09/11,18,22
235,2023/09/11,19,23
236,2023/09/11,20,21
237,2023/09/11,21,17
238,2023/09/11,22,16
239,2023/09/11,23,14
240,2023/09/12,0,20
241,2023/09/12,1,15
242,2023/09/12,2,14
243,2023/09/12,3,16
244,2023/09/12,4,13
245,2023/09/12,5,9
246,2023/09/12,6,15
247,2023/09/12,7,15
248,2023/09/12,8,16
249,2023/09/12,9,20
250,2023/09/12,10,17
251,2023/09/12,11,18
252,2023/09/12,12,23
253,2023/09/12,13,22
254,2023/09/12,14,29
255,2023/09/12,15,24
256,2023/09/12,16,30
257,2023/09/12,17,24
258,2023/09/12,18,19
259,2023/09/12,19,28
260,2023/09/12,20,21
261,2023/09/12,21,21
262,2023/09/12,22,22
263,2023/09/12,23,23
264,2023/09/13,0,17
265,2023/09/13,1,15
266,2023/09/13,2,16
267,2023/09/13,3,15
268,2023/09/13,4,16
269,2023/09/13,5,19
270,2023/09/13,6,17
271,2023/09/13,7,16
272,2023/09/13,8,17
273,2023/09/13,9,16
274,2023/09/13,10,21
275,2023/09/13,11,21
276,2023/09/13,12,17
277,2023/09/13,13,22
278,2023/09/13,14,20
279,2023/09/13,15,19
280,2023/09/13,16,22
281,2023/09/13,17,22
282,2023/09/13,18,27
283,2023/09/13,19,25
284,2023/09/13,20,16
285,2023/09/13,21,26
286,2023/09/13,22,21
287,2023/09/13,23,21
288,2023/09/14,0,21
289,2023/09/14,1,19
290,2023/09/14,2,21
291,2023/09/14,3,22
292,2023/09/14,4,23
293,2023/09/14,5,18
294,2023/09/14,6,24
295,2023/09/14,7,20
296,2023/09/14,8,21
297,2023/09/14,9,21
298,2023/09/14,10,26
299,2023/09/14,11,28
300,2023/09/14,12,26
301,2023/09/14,13,31
302,2023/09/14,14,28
303,2023/09/14,15,10
304,2023/09/14,16,11
305,2023/09/14,17,16
306,2023/09/14,18,16
307,2023/09/14,19,15
308,2023/09/14,20,16
309,2023/09/14,21,18
310,2023/09/14,22,19
311,2023/09/14,23,13
312,2023/09/15,0,17
313,2023/09/15,1,19
314,2023/09/15,2,23
315,2023/09/15,3,20
316,2023/09/15,4,28
317,2023/09/15,5,19
318,2023/09/15,6,20
319,2023/09/15,7,26
320,2023/09/15,8,21
321,2023/09/15,9,22
322,2023/09/15,10,29
323,2023/09/15,11,20
324,2023/09/15,12,24
325,2023/09/15,13,21
326,2023/09/15,14,21
327,2023/09/15,15,34
328,2023/09/15,16,18
329,2023/09/15,17,16
330,2023/09/15,18,11
331,2023/09/15,19,19
332,2023/09/15,20,16
333,2023/09/15,21,18
334,2023/09/15,22,17
335,2023/09/15,23,13
336,2023/09/16,0,14
337,2023/09/16,1,14
338,2023/09/16,2,16
339,2023/09/16,3,23
340,2023/09/16,4,18
341,2023/09/16,5,20
342,2023/09/16,6,21
343,2023/09/16,7,22
344,2023/09/16,8,21
345,2023/09/16,9,23
346,2023/09/16,10,20
347,2023/09/16,11,26
348,2023/09/16,12,20
349,2023/09/16,13,18
350,2023/09/16,14,25
351,2023/09/16,15,24
352,2023/09/16,16,16
353,2023/09/16,17,24
354,2023/09/16,18,32
355,2023/09/16,19,32
356,2023/09/16,20,26
357,2023/09/16,21,29
358,2023/09/16,22,24
359,2023/09/16,23,32
360,2023/09/17,0,26
361,2023/09/17,1,25
362,2023/09/17,2,24
363,2023/09/17,3,20
364,2023/09/17,4,27
365,2023/09/17,5,19
366,2023/09/17,6,19
367,2023/09/17,7,22
368,2023/09/17,8,22
369,2023/09/17,9,25
370,2023/09/17,10,24
371,2023/09/17,11,20
372,2023/09/17,12,24
373,2023/09/17,13,27
374,2023/09/17,14,29
375,2023/09/17,15,28
376,2023/09/17,16,28
377,2023/09/17,17,26
378,2023/09/17,18,29
379,2023/09/17,19,29
380,2023/09/17,20,26
381,2023/09/17,21,22
382,2023/09/17,22,16
383,2023/09/17,23,25
384,2023/09/18,0,21
385,2023/09/18,1,26
386,2023/09/18,2,18
387,2023/09/18,3,20
388,2023/09/18,4,18
389,2023/09/18,5,20
390,2023/09/18,6,22
391,2023/09/18,7,22
392,2023/09/18,8,29
393,2023/09/18,9,24
394,2023/09/18,10,20
395,2023/09/18,11,22
396,2023/09/18,12,33
397,2023/09/18,13,32
398,2023/09/18,14,18
399,2023/09/18,15,20
400,2023/09/18,16,17
401,2023/09/18,17,18
402,2023/09/18,18,17
403,2023/09/18,19,22
404,2023/09/18,20,14
405,2023/09/18,21,11
